Log_NR;STANDORT;STANDORT_NEU;Code_grafana;NORD_CHTOPO;OST_CHTOPO;LV_03_N;LV_03_E;HuM;Art;ZUSTAENDIG;BEFESTIGUNG;Doppel_Messnetz_23;Start;Ende
86;Ostermundigen, Lotschenstr 13;Ostermundigen Lotschenstrasse;0cebd74f5020;46.95309;7.48719;2603696;1200224.7;551.5;Hauptnetz;Gemeinde Ostermundigen;Strassenlampe;ja;11.05.2023;
87;Engehalde Stauwehr;Engehalde Stauwehr;307b8e4c1a42;46.96546;7.44503;2600486.5;1201598.6;494.5;Hauptnetz;ewb;Wehr, am ubergang;nein;08.05.2023;
89;Gurten Kulm;Gurten Kulm;a4caecd1e2e6;46.91833;7.43971;2600082;1196359.1;848;Hauptnetz;ewb;Strassenlampe;nein;27.07.2023;
98;Zollikofen Referenz 2m;Zollikofen 2m;20d1b9040ad9;46.99079;7.46407;2601935.4;1204414.8;552.9;Hauptnetz;MeteoSchweiz;Metallstange;ja;09.05.2023;
99;Zollikofen Referenz 3m;Zollikofen 3m;135a449d34a1;46.99079;7.46407;2601935.4;1204414.8;552.9;Hauptnetz;MeteoSchweiz;Metallstange;ja;09.05.2023;
101;Steinholzliwald;Steinholzliwald;213cff7114f2;46.93514;7.42805;2599194.5;1198227.6;573.7;Hauptnetz;Burgergemeinde;Baum;nein;09.05.2023;
102;Vorderes LG-Quartier, Falkenweg 5;Vordere Langgasse;2b71f57ca11c;46.95171;7.43714;2599886.1;1200069.3;561.6;Hauptnetz;ewb;Strassenlampe;ja;08.05.2023;
111;Tellstrasse;Tellstrasse;68d17acb4c7c;46.96017;7.46146;2601737.6;1201010.4;556.1;Monitoring intern;BERNMOBIL;Masten;nein;10.05.2023;
112;Ausserholligen 1, Post;Ausserholligen Post;f9c2d2bbe84f;46.94755;7.40188;2597202.2;1199607.9;547.9;Monitoring intern;Post;Strassenlampe;nein;12.05.2023;
113;Ausserholligen 2, ewb;Ausserholligen ewb;4f5e9a2b9675;46.94542;7.40642;2594547.7;1199371.3;547.6;Monitoring intern;ewb;Strassenlampe;nein;12.05.2023;
116;Ansermetplatz;Ansermetplatz;061bc5815e5a;46.94787;7.37708;2595313.7;1199645;545.2;Hauptnetz;ewb;Strassenlampe;nein;12.05.2023;
117;Koniztal;Koniztal;37464e90ede9;46.90961;7.44248;2600293.4;1195389.8;631;Hauptnetz;Bauer;Schild;nein;09.05.2023;
124;Barenplatz;Barenplatz;995c5da790ca;46.94814;7.44366;2600382.9;1199672.9;542.1;Monitoring intern;TAB;Maritstange;nein;24.05.2023;
126;Optingenstrasse;Optingenstrasse;5d922b8eddee;46.95597;7.45045;2600899.9;1200543.3;557.3;Monitoring intern;TAB;Verkehrsschild;nein;08.05.2023;
127;Breitenrainplatz;Breitenrainplatz;58c0f9c55c8d;46.95838;7.45415;2601181.1;1200811.8;559.8;Monitoring intern;ewb;Strassenlampe;nein;08.05.2023;
